id,obs_tombo,tombo_tipo
10506,duplicata,DUPLICATA
10514,5 duplicatas. Det. por M.G. Caxambu em 04/V/2012 como S. guaranitica,DUPLICATA
10515,Unicata,UNICATA
10517,5 duplicatas,DUPLICATA
10518,5 duplicatas/ Det. por J. Cordeiro & G. Felitto em 2012 como S. gracilis,DUPLICATA
10519,unicata,UNICATA
10520,3 duplicatas,DUPLICATA
10521,5 duplicatas,DUPLICATA
10522,3 duplicatas,DUPLICATA
10523,7 duplicatas,DUPLICATA
10524,11 duplicatas,DUPLICATA
10525,unicata,UNICATA
10526,unicata Det. por M.G. Caxambu como B. juncoides em 21/XI/2012,UNICATA
10527,unicata,UNICATA
10528,5 duplicatas,DUPLICATA
10529,5 duplicatas,DUPLICATA
10536,3 duplicatas,DUPLICATA
10537,4 duplicatas (Det. por J. Cordeiro & E.C. Nardin em 2012 como Zornia gemella).,DUPLICATA
10539,3 duplicatas,DUPLICATA
10544,6 duplicatas,DUPLICATA
10551,3 duplicatas,DUPLICATA
10558,5 duplicatas,DUPLICATA
10562,3 duplicatas.,DUPLICATA
10564,6 duplicatas,DUPLICATA
10568,duplicata,DUPLICATA
10573,duplicata,DUPLICATA
10585,duplicata,DUPLICATA
10593,duplicata,DUPLICATA
10594,duplicata,DUPLICATA
10595,duplicata,DUPLICATA
10606,duplicata,DUPLICATA
10619,unicata,UNICATA
10625,duplicata,DUPLICATA
10629,unicata,UNICATA
10631,duplicata,DUPLICATA
10640,duplicata,DUPLICATA
10642,duplicata,DUPLICATA
10649,duplicata,DUPLICATA
10651,unicata,UNICATA
10653,duplicata,DUPLICATA
10654,duplicata,DUPLICATA
10661,duplicata,DUPLICATA
10671,duplicata,DUPLICATA
10673,duplicata,DUPLICATA
10684,unicata,UNICATA
10685,unicata,UNICATA
10693,duplicata,DUPLICATA
10698,duplicata,DUPLICATA
10704,duplicata,DUPLICATA
10706,unicata,UNICATA
10711,duplicata,DUPLICATA
