CODIGO,CIDADE,ESTADO,PAIS
877,5005608,,BRASIL
878,5002704,,BRASIL
879,5003207,,BRASIL
880,5001102,,BRASIL
881,5002704,,BRASIL
882,5002704,,BRASIL
883,4104303,,BRASIL
884,4104303,,BRASIL
885,4104303,,BRASIL
886,5003207,,BRASIL
887,5002704,,BRASIL
888,5003207,,BRASIL
889,4128005,,BRASIL
890,4128005,,BRASIL
891,4116703,,BRASIL
892,4113734,,BRASIL
893,4128005,,BRASIL
894,4104303,,BRASIL
895,4127965,,BRASIL
896,4127965,,BRASIL
897,4104303,,BRASIL
898,4112108,,BRASIL
899,4105508,,BRASIL
900,4117271,,BRASIL
901,4110805,,BRASIL
902,1718501,,BRASIL
903,4119905,,BRASIL
904,4119905,,BRASIL
905,4119905,,BRASIL
906,4119905,,BRASIL
907,4119905,,BRASIL
908,5003207,,BRASIL
909,4113734,,BRASIL
910,4102000,,BRASIL
911,4119905,,BRASIL
912,4119905,,BRASIL
913,4119905,,BRASIL
914,4100301,,BRASIL
915,4104006,,BRASIL
916,4304408,,BRASIL
917,3205069,,BRASIL
918,3109204,,BRASIL
919,4219176,,BRASIL
920,5001102,,BRASIL
921,3200300,,BRASIL
922,4100202,,BRASIL
923,4216503,,BRASIL
924,4218905,,BRASIL
925,4205803,,BRASIL
926,5006903,,BRASIL
927,4103107,,BRASIL
928,4112009,,BRASIL
929,5002209,,BRASIL
930,5006903,,BRASIL
931,4102307,,BRASIL
932,4109500,,BRASIL
933,4114302,,BRASIL
934,3109402,,BRASIL
935,4128633,,BRASIL
936,4117701,,BRASIL
937,4113908,,BRASIL
938,5002209,,BRASIL
939,5006903,,BRASIL
940,4104006,,BRASIL
941,4112009,,BRASIL
942,4112009,,BRASIL
943,3135050,,BRASIL
944,4117701,,BRASIL
945,4101200,,BRASIL
946,NI,BAHIA,BRASIL
947,4109609,,BRASIL
948,4117701,,BRASIL
949,2919801,,BRASIL
950,4120804,,BRASIL
951,4113205,,BRASIL
952,4104006,,BRASIL
953,5005608,,BRASIL
954,4200705,,BRASIL
955,2904100,,BRASIL
956,4119954,,BRASIL
957,2921302,,BRASIL
958,4119103,,BRASIL
959,4209409,,BRASIL
960,5006903,,BRASIL
961,3136405,,BRASIL
962,5002209,,BRASIL
963,3136405,,BRASIL
964,4116208,,BRASIL
965,4209300,,BRASIL
966,2919801,,BRASIL
967,4100202,,BRASIL
968,4112009,,BRASIL
969,3152204,,BRASIL
970,4101200,,BRASIL
971,4116208,,BRASIL
972,4118204,,BRASIL
973,4119509,,BRASIL
974,3109402,,BRASIL
975,4127882,,BRASIL
976,4119509,,BRASIL
977,4127601,,BRASIL
978,4114302,,BRASIL
979,4100202,,BRASIL
980,3136405,,BRASIL
981,5219803,,BRASIL
982,4127601,,BRASIL
983,4104600,,BRASIL
984,3121605,,BRASIL
985,5206206,,BRASIL
986,3113701,,BRASIL
987,4125605,,BRASIL
988,4119954,,BRASIL
989,4109401,,BRASIL
990,4127882,,BRASIL
991,4101200,,BRASIL
992,4109609,,BRASIL
993,4106902,,BRASIL
994,4109500,,BRASIL
995,4113205,,BRASIL
996,4208104,,BRASIL
997,3138104,,BRASIL
998,4218905,,BRASIL
999,3148004,,BRASIL
1000,4112009,,BRASIL
1001,3166956,,BRASIL
1002,4113205,,BRASIL
1003,4106902,,BRASIL
1004,4117701,,BRASIL
1005,4106902,,BRASIL
1006,4106902,,BRASIL
1007,4112009,,BRASIL
1008,4119905,,BRASIL
1009,4218905,,BRASIL
1010,4218905,,BRASIL
1011,4116208,,BRASIL
1012,4116208,,BRASIL
1013,3149804,,BRASIL
1014,4105201,,BRASIL
1015,1712702,,BRASIL
1016,1712702,,BRASIL
1017,1712702,,BRASIL
1018,1712702,,BRASIL
1019,1712702,,BRASIL
1020,1712702,,BRASIL
1021,NI,TOCANTINS,BRASIL
1022,4104303,,BRASIL
1023,4116901,,BRASIL
1024,4127908,,BRASIL
1025,4127908,,BRASIL
1026,4127908,,BRASIL
1027,4127502,,BRASIL
1028,1302405,,BRASIL
1029,4113734,,BRASIL
1030,4102000,,BRASIL
1031,4105904,,BRASIL
1032,3521804,,BRASIL
1033,3521804,,BRASIL
1034,4212908,,BRASIL
1035,4128104,,BRASIL
1036,5103007,,BRASIL
1037,4104303,,BRASIL
1038,4112405,,BRASIL
1039,NI,SAO PAULO,BRASIL
1040,4104808,,BRASIL
1041,4104402,,BRASIL
1042,4205902,,BRASIL
5629,1504406,,BRASIL
1043,4123501,,BRASIL
